id,nombre,semestre,promedio,ingresos,opinion_campus,trabaja,distancia_universidad,edad,tipo_vivienda,horas_estudio,desertor
IDWZV3684,Mariano de la Rosa Cisneros,1,76,,10,True,8.0,19,Alquiler,8,0
IDMBJ1762,Ing. Yolanda Delgadillo,5,60,,10,False,1.0,26,Propia,19,1
IDVDC3237,Sofía Benito Pérez,10,85,8300.0,7,False,5.0,18,Propia,25,0
IDPMI5324,Tania Lara Baeza,7,74,,4,False,11.0,17,Propia,9,1
IDRYK5875,Flavio Dávila,10,92,12464.0,10,False,1.0,17,Alquiler,29,0
IDXAZ2549,Israel Ignacio Prieto,9,96,24526.0,9,False,1.0,23,Propia,7,0
IDAUS1631,Teodoro Vaca Ojeda,7,90,,5,False,,18,Propia,8,1
IDMOV0468,Alfonso Teodoro Delgadillo Toro,9,94,14063.0,10,False,9.0,19,Alquiler,9,0
IDKPE6999,Guillermo Bañuelos Guerra,8,60,16521.0,10,False,9.0,23,Alquiler,17,0
IDAUP5499,Cristina Gabino Venegas Portillo,2,67,20351.0,10,False,6.0,21,Propia,15,0
IDUFA1383,Magdalena Toro,1,71,17568.0,8,False,4.0,17,Propia,16,0
IDIFT7230,Hugo Alonso Osorio,7,78,14935.0,8,False,,20,Alquiler,7,1
IDZYR5529,Sofía Palacios Saavedra,7,84,22972.0,10,True,5.0,25,Propia,10,0
IDNXQ5285,Eloisa Silvano Lovato,8,91,,1,False,9.0,26,Alquiler,19,0
IDRPR6331,Rosa Diego Arredondo,5,71,18596.0,7,True,7.0,17,Alquiler,6,0
IDLGT8695,Sr(a). Cristina Puente,3,72,10572.0,6,False,4.0,26,Propia,25,0
IDSJW6566,Eva Ilse Carrasco,8,87,25567.0,2,True,7.0,17,Alquiler,12,0
IDLNW1295,Jorge Quintana,6,60,12442.0,10,True,,27,Alquiler,15,0
IDXTL8404,Alicia Sánchez Olvera,3,65,8300.0,6,False,1.0,22,Propia,10,0
IDIPM3452,Jaqueline Arroyo,1,67,24872.0,5,False,4.0,23,Alquiler,27,0
IDMSL1035,Angélica Emilio González,3,63,18685.0,1,False,8.0,20,Alquiler,24,1
IDWUM8468,Carolina Alejandra Merino Meza,5,64,,10,False,,20,Propia,18,1
IDXZB8478,Rosa Rosales González,3,84,,10,False,,17,Propia,4,0
IDTGJ0684,Celia Cotto,1,81,21957.0,9,False,1.0,31,Alquiler,30,1
IDQLG7481,Arturo Catalina Fuentes,5,87,27193.0,10,False,2.0,17,Propia,11,0
IDMZC3559,Isaac Catalina Chavarría,10,98,19455.0,6,True,1.0,17,Alquiler,5,0
IDSWI8912,Rodolfo Feliciano,7,82,8300.0,6,False,,22,Alquiler,13,0
IDSZF8193,Dr. Ramiro Chapa,7,63,,1,False,1.0,17,Alquiler,10,1
IDQFR4443,Fidel Gaona Laureano,9,63,,8,False,,17,Propia,22,0
IDFLS4254,Isabel Cristian Adame Mayorga,10,80,35522.0,8,False,3.0,25,Alquiler,29,0
IDYRO0867,Ángela Trinidad Miranda Melgar,10,96,,10,False,9.0,24,Alquiler,7,1
IDODO8967,Tania Zeferino Paz Villa,3,100,23793.0,1,False,8.0,22,Propia,11,0
IDAVR3372,Juan Carlos Espartaco Rojas,7,61,11565.0,8,False,4.0,21,Propia,4,0
IDTGC7669,Magdalena Ofelia Longoria Rosado,1,66,30664.0,1,False,4.0,30,Propia,4,1
IDBRO8566,Dr. Óliver Martínez,4,75,34989.0,4,False,,21,Propia,5,0
IDKQA8365,Aldo Lozada,4,76,8570.0,9,False,,20,Alquiler,25,0
IDPMP2026,Asunción Moreno,5,79,,8,True,8.0,17,Propia,9,1
IDRZW7798,Cristal Delgado,7,82,8567.0,9,False,9.0,23,Propia,30,0
IDVYE0680,Natalia Montez Gurule,7,93,28624.0,4,False,4.0,21,Alquiler,1,1
IDFBN5042,Reynaldo Zayas Miramontes,4,70,12923.0,6,False,1.0,22,Alquiler,29,0
IDBGB9375,Mtro. Concepción Alonzo,7,93,18545.0,6,False,5.0,17,Propia,16,0
IDVPA1001,Óscar Venegas Solís,3,92,17217.0,10,True,6.0,22,Propia,5,0
IDRTP0581,Mauricio Velásquez Ballesteros,6,85,8300.0,8,True,4.0,25,Propia,5,0
IDOUJ4326,Josefina Ángela Borrego Meza,2,61,9235.0,8,False,1.0,22,Propia,7,0
IDHBN0250,Ing. Fidel Negrete,10,82,12615.0,7,False,1.0,26,Alquiler,8,0
IDJIB2285,Maximiliano Perea,9,100,34243.0,10,False,3.0,20,Propia,19,0
IDJYN8067,Lic. Ivonne Raya,5,81,8300.0,10,True,,27,Alquiler,1,0
IDNAN7895,Esperanza Anel Negrete,6,93,,10,False,1.0,21,Alquiler,18,0
IDGOG4006,Darío Reina Espino,4,74,26665.0,10,False,,26,Propia,22,0
IDRTU4269,Lic. Mitzy Leyva,10,69,,10,False,3.0,17,Alquiler,11,0
IDHZJ0733,Anel Iván Serna Santana,7,74,22388.0,7,True,1.0,20,Propia,30,0
IDIOR9733,Reina Amaya Casanova,9,88,22181.0,6,False,1.0,18,Propia,22,0
IDSMT8317,Anabel Iglesias Flórez,7,82,25075.0,8,False,1.0,18,Propia,27,0
IDQPW0322,Octavio Bañuelos Regalado,1,76,,5,True,6.0,21,Propia,29,0
IDNWJ5998,Guadalupe Roberto González,1,68,22495.0,10,False,6.0,17,Alquiler,16,0
IDKWX6428,Darío Genaro Almonte Cornejo,9,95,13314.0,2,False,,21,Propia,21,0
IDHMW7406,Andrés Reséndez Valverde,9,68,,5,False,5.0,19,Alquiler,11,1
IDFII2762,Dr. Salma Razo,4,75,25758.0,8,False,8.0,24,Propia,21,0
IDHIB9833,Salma Adela Salcido,9,95,,6,False,1.0,23,Alquiler,9,0
IDBIU7696,Andrea Patiño,3,92,23234.0,4,False,5.0,17,Alquiler,27,0
IDAME1604,Wendolin María Cristina Tirado,7,90,,3,False,1.0,17,Propia,7,0
IDDAD4556,David Mireles Colunga,6,65,10886.0,10,False,1.0,29,Propia,22,1
IDVNO1373,Mayte Cristal Véliz Mireles,8,69,20621.0,10,False,,17,Alquiler,15,0
IDHKS3440,Ana Hernán Pantoja,9,75,15789.0,10,False,8.0,17,Alquiler,11,0
IDWZM9835,Rufino Timoteo Alejandro López,5,63,12278.0,10,False,6.0,18,Alquiler,23,0
IDKGN9462,Adriana Cristobal Palomino,1,81,17860.0,2,False,5.0,21,Propia,19,0
IDXAB6751,Delia Palacios Elizondo,3,72,,7,False,10.0,20,Propia,29,0
IDNIV9376,Leonel Úrsula Tirado,10,75,24521.0,1,False,1.0,17,Propia,7,0
IDXOA2223,Salma Pilar Figueroa Armas,8,88,8684.0,10,False,4.0,24,Propia,16,0
IDUKV3521,Zacarías Andrea Arenas Sauceda,6,65,13164.0,7,False,6.0,26,Alquiler,3,0
IDVHN6503,Esteban Carlos Malave Palomo,8,85,14103.0,3,False,1.0,31,Alquiler,16,0
IDSNG8656,Eric Escobedo Pantoja,9,70,10466.0,8,False,,30,Alquiler,8,0
IDJOG9882,Ing. Karina Lucero,4,83,26253.0,10,False,2.0,17,Alquiler,26,0
IDRZJ7026,Alfredo Helena Niño,1,88,34477.0,10,False,4.0,17,Alquiler,10,0
IDKBG4759,Noelia Sepúlveda,1,62,,10,False,7.0,17,Propia,9,1
IDLZC9861,Sr(a). María del Carmen de León,10,69,19368.0,1,False,,19,Propia,3,1
IDFCV7055,Ricardo Carolina Cortés,4,60,18647.0,5,False,14.0,28,Alquiler,7,0
IDAAX4094,Daniela Manuel Batista,7,85,,7,False,1.0,20,Propia,8,1
IDGUN6014,Nayeli Barbara Carmona Chapa,2,71,21378.0,4,False,1.0,20,Propia,3,0
IDGEV8643,Eva Carmona Tapia,3,73,17396.0,3,True,7.0,17,Propia,16,0
IDEZA1477,Luz Florencia Gracia,1,84,24028.0,10,False,1.0,22,Propia,22,0
IDIZG0307,Arturo Silvia León Solorzano,5,67,8300.0,6,False,8.0,23,Propia,29,0
IDFQA1150,Cristobal Sevilla Lucero,1,63,,10,False,4.0,20,Alquiler,14,1
IDYSM2131,Lic. Víctor Limón,8,87,14451.0,9,True,5.0,20,Alquiler,7,0
IDFUI4414,María del Carmen Eloisa Hinojosa,1,66,11273.0,10,False,6.0,22,Propia,4,1
IDIRN1417,Irma Carrión Aragón,1,69,20672.0,3,False,8.0,19,Alquiler,6,0
IDFSF4219,Jaqueline Gabriel Pichardo Sandoval,2,95,18498.0,10,True,1.0,22,Alquiler,7,0
IDVGC5380,Mtro. Eloisa Nájera,2,61,16586.0,6,False,,18,Propia,12,1
IDICJ6063,Sr(a). Sara Arreola,6,85,26505.0,3,False,1.0,20,Propia,7,0
IDTWM3671,Juan Covarrubias Porras,7,73,15907.0,1,False,,20,Propia,27,0
IDYMU3439,Julio Ariadna Ulloa Zelaya,5,75,13857.0,8,False,1.0,24,Propia,1,0
IDVUM1782,Francisco Javier Teodoro Ortiz Bustos,1,76,8846.0,8,False,1.0,17,Alquiler,18,1
IDIBO7737,Fernando Soto Esquivel,1,81,14775.0,4,False,4.0,19,Propia,11,0
IDPOW1964,Noelia Benavídez Verduzco,3,63,30761.0,6,False,7.0,17,Propia,11,0
IDMBC7608,Carla Sessa Estévez Godínez,2,78,,10,False,1.0,24,Alquiler,17,0
IDYPM6304,Mtro. Guadalupe Marín,5,61,10443.0,4,False,4.0,17,Propia,25,1
IDHZV5024,Felipe Fajardo,10,98,29857.0,3,False,1.0,17,Alquiler,12,0
IDVRN8117,Guillermo Raquel Madera,6,68,25415.0,3,False,1.0,17,Alquiler,23,1
IDYUX5976,Aldo Gustavo Gurule,7,78,18416.0,8,False,4.0,17,Propia,27,0
IDNXM6118,Caridad Marcela Ramírez Monroy,4,75,16445.0,10,True,6.0,22,Alquiler,23,0
IDJIB8047,Lic. Marisela Pedroza,7,84,16508.0,4,True,7.0,17,Propia,19,0
IDSEI3046,Julio Martín Carvajal Ramírez,8,77,,10,False,1.0,21,Alquiler,21,0
IDUXP2133,Citlali Lucía Ocampo Sisneros,1,82,,5,True,9.0,20,Propia,18,0
IDOIY5251,Elias Rentería,6,80,8300.0,10,False,6.0,22,Propia,21,0
IDVQB6360,Dr. Andrés Montemayor,8,70,16466.0,10,False,1.0,20,Alquiler,24,0
IDDRO7440,Berta Martínez Angulo,5,98,25806.0,6,False,,25,Propia,13,1
IDQRV9687,Marisela Nájera,4,100,9336.0,7,False,7.0,17,Alquiler,10,0
IDHEM4537,Mtro. Jesús Tamez,2,63,35141.0,10,False,1.0,17,Alquiler,19,1
IDUJP0172,Jerónimo Flores Berríos,6,84,40241.0,10,True,5.0,17,Propia,4,0
IDNKG0634,Ing. Salma Valles,6,91,25083.0,9,False,12.0,25,Alquiler,24,0
IDLQS3801,Amalia Madera,1,89,31179.0,9,False,1.0,17,Propia,15,0
IDGWC3755,Lourdes Eduardo Bernal Nájera,9,85,21803.0,10,False,3.0,27,Alquiler,18,0
IDAQA7789,Alfredo Bernal,6,95,20621.0,10,True,,23,Propia,1,0
IDVPQ6688,Norma David Colunga Chacón,3,93,19828.0,2,False,4.0,18,Alquiler,19,0
IDBZH1955,Carla Esther Montez,4,68,32662.0,10,False,6.0,19,Alquiler,2,0
IDZIR7004,Hermelinda Estrada,4,71,32078.0,2,False,7.0,22,Alquiler,10,0
IDXDT6890,Dolores Joaquín Olivera Alcaraz,3,61,13162.0,5,False,9.0,21,Alquiler,30,0
IDRSM4987,Jorge Luis Alfaro,10,97,23653.0,1,False,,18,Alquiler,18,0
IDCND9723,Jos Herrera,3,64,,3,False,1.0,29,Propia,4,1
IDYOK2273,Sofía Elias Berríos,3,64,29114.0,10,True,10.0,20,Propia,29,0
IDNZS3503,Hugo Hugo Garica Cazares,4,81,13833.0,9,True,8.0,27,Alquiler,29,0
IDFUV7104,Ana Rodríquez Puente,7,64,16740.0,9,False,9.0,25,Propia,22,0
IDZEL0407,Gabriel Meléndez,4,63,29118.0,7,False,8.0,17,Propia,10,0
IDTUC3537,Augusto Joaquín Quintero,9,68,,10,False,,20,Propia,26,1
IDXJD0807,Concepción Jaimes,1,88,,10,False,7.0,23,Alquiler,21,1
IDEHP6659,Pilar Regalado,8,81,25071.0,10,True,2.0,19,Propia,4,0
IDDSE1520,Dr. Elvia Saavedra,7,86,,5,False,10.0,19,Propia,24,0
IDIVY8410,Lorena Reynoso,2,69,8300.0,1,False,1.0,31,Alquiler,27,1
IDAES1668,Catalina Wilfrido Partida,8,75,8300.0,10,False,5.0,23,Alquiler,21,0
IDEAV6438,Arcelia Gonzales Escalante,1,69,15562.0,6,False,,18,Alquiler,18,0
IDOWT1326,Gilberto Vanegas,9,65,,3,False,6.0,17,Alquiler,20,1
IDNBQ1124,Javier Madrid Alejandro,9,64,14938.0,7,False,,26,Alquiler,23,0
IDETK6983,Jacinto Cotto,2,65,8300.0,8,True,,17,Propia,4,1
IDXGL7953,Ing. Eva Luna,7,84,,10,False,1.0,23,Propia,15,0
IDOLW8120,Jaime Luz Dueñas Abrego,10,63,17128.0,10,False,3.0,17,Propia,22,0
IDVDY9472,Ing. Carmen Nava,3,99,23528.0,10,True,,17,Alquiler,18,0
IDDYY8688,Marco Antonio Concepción Barrios,7,91,23167.0,8,False,6.0,26,Propia,9,0
IDWVS6497,Dr. Citlali Vásquez,10,94,35162.0,2,False,1.0,17,Alquiler,20,0
IDCES6524,Ramón Beatriz Mota Velázquez,9,69,15814.0,1,False,1.0,20,Propia,29,0
IDVYQ6897,Lic. Paola Chapa,4,93,11578.0,6,False,5.0,21,Propia,17,0
IDGHV1925,Alfredo Acuña Cortez,1,95,17053.0,4,False,15.0,25,Alquiler,30,1
IDAUE3996,Oswaldo Galván,2,65,12196.0,1,False,1.0,22,Propia,3,1
IDTJF2502,Miguel Ángel de la Torre Porras,1,75,8300.0,9,False,,27,Propia,13,1
IDJUB0881,Angélica Yolanda Juárez,5,78,27412.0,9,False,8.0,22,Alquiler,30,0
IDGIW8719,Sr(a). Amador Cazares,5,93,23263.0,3,False,2.0,18,Propia,7,0
IDCTE2434,Héctor Judith Caldera Prieto,7,84,,9,True,,17,Propia,14,0
IDJKK8476,Helena Fidel Sanabria Valdés,9,90,12535.0,10,False,,23,Propia,30,0
IDNKE6025,Elsa Pedraza Olivas,9,100,36427.0,10,False,,17,Alquiler,26,0
IDWIT3213,Esperanza Cabrera,3,76,25296.0,6,False,,21,Alquiler,25,0
IDSGC6429,Carlos Tórrez Garica,3,89,16217.0,10,False,2.0,23,Propia,6,0
IDDPM9317,Dulce Julio Espinal,3,98,35987.0,9,False,1.0,19,Propia,14,0
IDGNF7083,Gustavo Mota,4,90,33645.0,10,False,1.0,17,Alquiler,14,0
IDWHH1380,Irene Alonso Roque Henríquez,8,78,17294.0,4,False,8.0,21,Alquiler,29,0
IDBCX0607,Cristal Valenzuela Cedillo,6,94,10794.0,10,False,4.0,17,Alquiler,14,0
IDTQZ5072,José Yeni Muñoz,8,88,27739.0,8,False,1.0,17,Propia,20,0
IDLWM9015,Sr(a). Felipe Valentín,1,60,23862.0,8,False,5.0,25,Propia,18,1
IDGRZ8477,Ivonne Rolando del Río,8,63,8300.0,8,False,,17,Alquiler,9,0
IDFRA8863,Vanesa Patricio Casares Villegas,4,87,12571.0,5,False,10.0,17,Alquiler,12,0
IDGRG6363,Sr(a). María Cristina Sisneros,1,77,8300.0,10,False,2.0,17,Propia,14,1
IDPLK0007,José Manuél Bernardo Guzmán Rascón,8,85,14167.0,10,False,,17,Alquiler,24,0
IDFFI0230,Samuel Zacarías Saavedra,4,99,28548.0,8,True,,17,Propia,23,0
IDUCJ3666,Sr(a). Felix Manzanares,6,78,27081.0,4,False,3.0,24,Alquiler,16,1
IDEAP7106,Víctor Fonseca,8,65,20221.0,10,True,4.0,19,Alquiler,2,0
IDWYC7811,Cristina Morales,4,60,,8,False,1.0,19,Propia,16,1
IDEES9115,Pascual Carrera,3,67,35116.0,7,False,,20,Alquiler,18,0
IDXJZ1386,Dr. Socorro Trujillo,9,92,,10,True,7.0,19,Alquiler,24,0
IDCBK5144,Dulce María Alta  Gracia Campos,3,80,17148.0,7,False,12.0,19,Propia,9,0
IDJFR0167,Violeta Enrique Ponce Leyva,9,83,17922.0,10,True,2.0,22,Propia,25,0
IDWWY4195,Yeni Victoria Tórrez Pérez,2,84,8300.0,6,False,19.0,19,Propia,8,1
IDGBZ2505,Bernabé Arredondo Robles,2,78,13787.0,1,False,8.0,17,Propia,1,1
IDFHR7477,Isabel Armenta Castro,2,88,,7,True,1.0,30,Propia,5,0
IDLDK3529,María Eugenia Aida Curiel,6,69,27498.0,6,True,10.0,26,Alquiler,7,0
IDVRI5341,Francisco Javier María José Heredia,3,71,12194.0,5,False,4.0,17,Alquiler,10,0
IDDUN7697,Mtro. Trinidad Guajardo,9,92,19724.0,8,False,,27,Propia,22,1
IDAPA3254,Dr. Eugenia Ramírez,4,66,29429.0,7,False,6.0,24,Propia,11,0
IDEQS8637,Dr. Blanca Quintero,1,76,13128.0,6,False,10.0,25,Alquiler,12,0
IDZSL2327,Dr. Soledad Quesada,4,69,26136.0,1,False,,17,Propia,1,1
IDOVY2364,Sr(a). Reynaldo Castillo,1,90,16017.0,10,False,6.0,23,Propia,26,1
IDYNA5173,Esmeralda Tejada Saldivar,5,65,20515.0,8,False,1.0,22,Propia,6,1
IDWEI4913,Hernán Negrete Macías,4,76,8300.0,10,True,,23,Alquiler,4,0
IDSLW0945,Helena Alberto Suárez,8,96,29152.0,10,False,1.0,17,Propia,3,0
IDDJM9234,Hilda Pabón Osorio,8,77,18257.0,8,False,1.0,17,Alquiler,4,0
IDTJK4161,Fabiola Navarro,7,85,,5,False,1.0,28,Alquiler,24,0
IDBER9135,Sandra Camarillo Grijalva,3,75,13248.0,9,False,3.0,23,Propia,27,0
IDKHP7445,Lic. Reynaldo Mejía,1,67,,6,True,1.0,20,Propia,6,0
IDAQK7953,Homero Sara Villareal,1,83,,7,False,5.0,18,Propia,25,0
IDNGF5751,Guillermo Acuña Gutiérrez,3,72,13539.0,2,False,5.0,18,Alquiler,5,0
IDPUQ7148,Victoria Elsa Corrales Ortega,6,88,,5,False,1.0,29,Propia,27,0
IDRLS8868,Amalia Arteaga,7,91,21504.0,9,False,1.0,31,Alquiler,9,0
IDZLS8559,Modesto Cedillo de León,6,83,,10,True,1.0,34,Alquiler,4,0
IDLUX0608,Josefina Tomás Mendoza Gamboa,6,75,23682.0,10,False,1.0,22,Alquiler,14,0
IDQHG9549,Elsa Adriana Tamez,6,70,,10,False,6.0,22,Propia,15,0
IDYSI0503,Judith Antonio Mendoza,3,91,,10,False,1.0,29,Alquiler,28,0
IDEKR9299,Araceli Beltrán,6,65,10166.0,9,True,1.0,24,Alquiler,4,0
IDKMM0649,Manuel Jacobo Miranda Vanegas,8,94,13922.0,2,False,12.0,17,Propia,22,1
IDBEH9415,Espartaco Quiñones Zamora,2,92,19483.0,2,False,,18,Propia,14,0
